country,name,longName,foundingDate,population,capital,largestCity,area
573,Central Regions Stat,Central Regions State of Somali,,,Dhusamareb,Dhusamareb,
574,,Central Tibetan Administrati,,,,,
575,Mexico,,1835-10-23,,Mexico City,,
576,Central-Caspian Dictatorship,,7/26/1918,,Baku,,
577,Chad,Republic of Chad,8/11/1960,13670084,N'Djamen,,1284000km
578,Chagatai Khanat,,,,"Almaliq, Xinjiang",,
579,Chagatai Khanat,,,,Qarsh,,
580,Chakan Putu,,,,,,
581,Chalco,,,,Tlalmanalco,,
582,Chalco,,,,Itzcahuacan,,
583,Chalukya dynasty,,,,Badam,,
584,Champ,,,,Indrapura (Champa),,
585,Champ,,,,Vijaya (Champa),,
586,Champ,,,,Phan Rang–Tháp Chàm,,
587,Fourth Dynasty of Hùng kings,,,,Phong Châu,,
588,Chandela dynasty,,,,Kalinjar For,,
589,Chandela dynasty,,,,Khajuraho Group of Monuments,,
590,Chandela dynasty,,,,Mahob,,
591,Chavda dynasty,,,,Panchasar,,
592,Chavda dynasty,,,,"Patan, Gujar",,
593,Chavín Cultur,,,,Chavín de Huantar,,
594,Chechny,,11/1/1991,,Grozny,,
595,Chedi Kingdo,,,,Suktim,,
596,Ch,,,,Huaiyang County,,
597,Chen dynasty,,0557-11-16,,Jiankang,,
598,Cheng H,,,,Chengdu,,
599,Chenl,,,,Sambor Prei Kuk,,
600,Chera kingdo,,,,Chera dynasty,,
601,Chera kingdo,,,,Karur,,
602,Cherokee N,Cherokee Nati,,299862,"Tahlequah, Oklahom","Tahlequah, Oklahom",
603,Cherokee Natio,,1794-11-07,,New Echo,,
604,Cherokee Natio,,1794-11-07,,"Tahlequah, Oklahom",,
605,Tanah Merah kingdo,,,,Songkhla Province,,
606,Tanah Merah kingdo,,,,Singh,,
607,Amec,,,,,,
608,Chil,Republic of Chi,1810-09-18,18006407,Santiago,,291930mi
609,Chil,Republic of Chi,1818-02-12,18006407,Santiago,,291930mi
610,Chimor,,,,Chan Chan,,
611,Chimu cultur,,,,Chan Chan,,
612,the People's Republic of Chi,People's Republic of Chi,1/1/1912,1376049000,Beijing,Shangh,3705407mi
613,Chinese Soviet Republic,,,,Ruijin,,
614,Chinese Soviet Republic,,,,Yan'an,,
615,Chinese Soviet Republic,,,,Zhidan County,,
616,Chitral,,,,Chitr,,
617,Chobanids,,,,Tabriz,,
618,Chobanids,,,,Kastamonu,,
619,Chola dynasty,,,,Puhar,,
620,Chola dynasty,,,,Gangaikonda Cholapuram,,
621,Chola dynasty,,,,Pazhayar,,
622,Chola dynasty,,,,Uraiyur,,
623,Chola dynasty,,,,Thanjavur,,
624,Chola dynasty,,,,Thiruvarur,,
625,Christmas Island,Territory of Christmas Island,,2072,Flying Fish Cove,,52mi
626,Chu,,,,Danyang (Chu),,
627,Chu,,,,Ying (Chu),,
628,Chu,,,,Shou County,,
629,Chu,,,,Xuzhou,,
630,Chu,,,,Changsh,,
631,Chudasama dynasty,,,,Sorath,,
632,Chuvashi,,6/24/1920,,Cheboksary,,
633,Chuz,,,,Urasoe Castle,,
634,Circassi,,,,Soch,,
635,Cisalpine Republic,,1797-06-29,,Province of Milan,,
636,Ciskei,,12/4/1981,,Bhisho,,
637,Cispadane Republic,,1796-10-16,,Bologn,,
638,Cisrhenian Republic,,1797-08-28,,,,
639,Uruguay,,6/27/1973,,Montevideo,,
640,Poland,,,,Gniezno,,
641,Athens,,,,Athens,,
642,,,11/10/2009,,,,
643,CGDK,,6/22/1982,,Phnom Penh,,
644,Iraq,,4/21/2003,,Baghdad,,
645,Cochinchi,,,,Ho Chi Minh City,,
646,lso used to resolve location within categories and name of flags and coat of arms -->,,,,"Cocula, Jalisco",,
647,Cocos Islands,Cocos (Keeling) Islands,,596,"West Island, Cocos (Keeling) Islands",,5.3mi
648,Cocos Islands,Territory of th,,596,"West Island, Cocos (Keeling) Islands",,5.3mi
649,Coixtlahuac,,,,,,
650,"Colchis, Kolkheti, Kolkha, Kolkhid",,,,Aia (Colchis),,
651,"Colchis, Kolkheti, Kolkha, Kolkhid",,,,Ildamus,,
652,"Colchis, Kolkheti, Kolkha, Kolkhid",,,,Phasis (town),,
653,the Collectivity of Saint Marti,Collectivity of Saint Marti,1648-03-23,,"Marigot, Saint Martin","Marigot, Saint Martin",20.5mi
654,the Collectivity of Saint Marti,Collectivity of Saint Marti,7/15/2007,,"Marigot, Saint Martin","Marigot, Saint Martin",20.5mi
655,,,,,,,
656,Colombi,Republic of Colombi,1810-07-20,48400388,Bogotá,,440831mi
657,Colombi,Republic of Colombi,1819-08-07,48400388,Bogotá,,440831mi
658,,,11/28/1950,,,,
659,,,7/1/1951,,,,
660,Brazil,,1500-04-22,,Rio de Janeiro,,
661,Brazil,,1500-04-22,,"Salvador, Bah",,
662,Mauritani,,5/12/1903,,Nouakcho,,
663,Mauritani,,5/12/1903,,"Saint-Louis, Seneg",,
664,Nigeri,,1/1/1914,,Lagos Colony,,
665,Ad,,,,Aden,,
666,British Columbi,,1858-08-02,,New Westminster,,
667,British Columbi,,1869-08-02,,"Victoria, British Columb",,
668,Colony of Fiji,,1874-10-10,,Levuk,,
669,Colony of Fiji,,1874-10-10,,Suv,,
670,Jamaic,,1655-05-10,,Port Roy,,
671,Jamaic,,1655-05-10,,"Kingston, Jam",,
672,Jamaic,,1655-05-10,,Spanish Town,,
673,Natal,,1843-05-04,,Pietermaritzburg,,
674,New Zealand,,,,Auckland,,
675,New Zealand,,,,Wellington,,
676,Niger,,10/13/1922,,Niamey,,
677,Niger,,10/13/1922,,Zinder,,
678,Rhode Island,,,,"Providence, Rhode Island",,
679,Santiago,,,,Spanish Town,,
680,Singapor,,4/1/1946,,,,
681,Tasmani,,,,Hobar,,
682,Vancouver Island,,1849-01-13,,"Victoria, British Columb",,
683,Virgini,,,,"Jamestown, Virgin",,
684,Virgini,,,,"Williamsburg, Virgin",,
685,Comburg Abbey,,,,,,
686,Commander Islands,Commander Islands,,613,,,712mi
687,Bulgari,Republic of Bulgari,,,,,
688,Poland,Republic of Poland,,,,,
689,Romani,Romani,,,,,
690,Samara Constituent Assembly,,6/8/1918,,"Samara, Russ",,
691,,Common Market for Eastern and Southern Africa (COMESA),12/8/1994,,,,
692,,Common Market for Eastern and Southern Africa (COMESA),11/5/1993,,,,
693,England,,1649-05-19,,London,,
694,England,,1659-05-25,,London,,
695,,Commonwealth of Independent States,5/15/1992,276917629,,Moscow,20996932km
696,,,,,,,
697,,,11/19/1926,2328000000,,,11566870mi
698,,,12/11/1931,2328000000,,,11566870mi
699,Philippine Commonwealth,,11/15/1935,,Man,,
700,Ro,,,,,,
701,Estoni,,11/29/1918,,Narv,,
702,,,7/17/1996,266000000,,,
703,Comoros,Union of the Comoros,7/6/1975,798000,"Moroni, Comoros",,727mi
704,Indi,,1757-05-10,,Kolk,,
705,Rhodesi,,,,Harare,,
706,Comtat Venaissi,,,,Venasque,,
707,Comtat Venaissi,,,,Carpentras,,
708,,Conch Republic,4/23/1982,,,,15.4km
709,Ireland,,,,Kilkenny,,
710,Confederate States of Americ,,1861-02-04,,,,
711,Confederation of the Rhi,,1806-07-12,,Free City of Frankfur,,
712,,,,,,,
713,Congo,,1885-07-01,,"Boma, Democratic Republic of the Congo",,
714,Poland,,1815-06-09,,Warsaw,,
715,Connecticut,,,,"Hartford, Connecticu",,
716,Connecticut,,,,"New Haven, Connecticu",,
717,Chil,,1830-04-17,,,,
718,,,7/29/1985,,,,
719,the Cook Islands,Cook Islands,8/4/1965,,Avaru,Avaru,91mi
720,Cook Islands,,,,Avaru,,
721,Fiu,,1779-04-23,,Rijek,,
722,Corsic,,,,"Corte, Haute-Corse",,
723,Cossack Hetmanat,,,,Chyhyryn,,
724,Cossack Hetmanat,,,,Hlukhiv,,
725,Cossack Hetmanat,,,,Baturyn,,
726,Costa Ric,Republic of Costa Ric,1823-07-01,,"San José, Costa R",,19653mi
727,Costa Ric,Republic of Costa Ric,1821-09-15,,"San José, Costa R",,19653mi
728,Toggenburg,,,,,,
729,Wartenberg-Roth,,,,,,
730,County of Álav,,,,Vitoria-Gasteiz,,
731,Artois,,,,Arras,,
732,Baden AG,,,,"Baden, Switzerland",,
733,Barcelo,,,,Barcelon,,
734,Benthei,,,,Bad Bentheim,,
735,Blankenburg,,,,,,
736,County of Boulog,,,,,,
737,Brabant,,,,Brussels,,
738,County of Bur,,,,Buren,,
739,Burgundy,,,,"Dole, Jur",,
740,Cilli,,,,,,
741,County of Durango,,,,"Durango, Biscay",,
742,East-Frisi,,,,Emden,,
743,Eberstei,,,,Alt Eberstein,,
744,Edess,,,,Edess,,
745,Edess,,,,Turbesse,,
746,Flanders,,,,Ghen,,
747,Flanders,,,,Lille,,
748,Flanders,,,,Bruges,,
749,Genevois,,,,Annecy,,
750,Genevois,,,,La Roche-sur-Foron,,
751,Gorizi,,,,Goriz,,
752,Gorizi,,,,Lienz,,
753,"Guastalla, County",,,,Guas,,
754,Hainaut,,,,Mons,,
755,Hanau-Münzenberg,,,,Hanau,,
756,County of Holland,,,,The Hague,,
757,Holzappel,,,,Holzappe,,
758,Hor,,,,"Horn, Netherlands",,
759,Hoy,,,,"Hoya, Germany",,
760,Hoy,,,,"Nienburg, Lower Saxony",,
761,Jaffa and Ascalo,,,,Jaff,,
762,Katzenelnbog,,,,Katzenelnbogen,,
763,Kladsko,,,,Kłodzko,,
764,Loo,,,,Hasse,,
765,Loo,,,,Borgloon,,
766,Luxemburg,,,,Luxembourg City,,
767,Manderscheid,,,,"Manderscheid, Bernkastel-Wittlich",,
768,Manderscheid,,,,Oberk,,
769,Mark or Marck,,,,Hamm,,
770,"Montbeliard, County",,,,Montbéliard,,
771,Namur,,,,Namur,,
772,Nassau,,,,"Nassau, Rhineland-Palatinate",,
773,County of Novellar,,,,Novellar,,
774,Oldenburg,,,,Oldenburg (Oldenburg),,
775,Portugal,,,,Brag,,
776,Ravensberg,,,,Bielefeld,,
777,Regenstei,,,,,,
778,Rieneck,,,,Lohr am Main,,
779,Rietberg,,,,,,
780,Rou,,,,Rouen,,
781,Rosselló,,,,Perpignan,,
782,"Saarbrucken, County",,,,,,
783,Santa Fior,,,,Santa Fior,,
784,Sargans,,,,Sargans,,
785,Savoy,,,,Chambéry,,
786,Schaumburg,,,,Rinteln,,
787,Sicily,,,,Palermo,,
788,Sponhei,,,,Sponheim,,
789,Sponhei,,,,Traben-Trarbach,,
790,Sponhei,,,,Bad Kreuznach,,
791,Stolberg,,,,Stolberg (Harz),,
792,Tecklenburg,,,,,,
793,County of Toulous,,,,Toulouse,,
794,Tripoli,,,,Tartus,,
795,Tripoli,,,,"Tripoli, Lebanon",,
796,Tyrol,,,,Innsbruck,,
797,Tyrol,,,,Merano,,
798,Veldenz,,,,Veldenz,,
799,Wernigerod,,,,Wernigerode,,
800,Wurttemberg,,,,Stuttgar,,
801,Zeeland,,,,Middelburg,,
802,Zweibrück,,,,Zweibrücken,,
803,"Tubingen, County Palati",,,,Tübingen,,
804,Couto Mixto,,,,Santiago de Rubiás,,
805,Cret,,1898-12-09,,Chan,,
806,Samo,,,,A,Ap,
807,Crimean Khanat,,,,Bakhchysar,,
808,Crimean Khanat,,,,Stary Krym,,
809,Cri,,12/13/1917,,,,
810,Cri,,6/25/1918,,,,
811,Cri,,,,Simferopo,,
812,Croati,Republic of Croati,,,Zagreb,,21851mi
813,Croati,,,,Knin,,
814,Croati,,,,"Nin, Cro",,
815,Croati,,,,Biograd na Moru,,
816,Croati,,,,Bihać,,
817,Croatian Republic of Herzeg-Bosni,,4/27/1992,,Mostar,,
818,Labu,,,,"Victoria, Labuan",,
819,Malacc,,,,,,
820,Malt,,1813-07-23,,Valle,,
821,North Borneo,,7/18/1946,,,,
822,Sarawak,,6/30/1946,,,,
823,,,,,,,
824,Castil,,1230-09-23,,Burgos,,
825,Castil,,1230-09-23,,Madrid,,
826,Castil,,1230-09-23,,"Toledo, Spain",,
827,Castil,,1230-09-23,,Valladolid,,
828,,Crozet Islands,,,,,352km
829,Cub,Republic of Cub,1895-02-24,,Havan,,42426mi
830,Cub,Republic of Cub,1898-12-10,,Havan,,42426mi
831,Cumani,,,,,,
832,Cupul,,,,Valladolid,,
833,Curaçao,Country of Curaç,10/10/2010,152760,Willemstad,Willemstad,171.4mi
834,Curaçao and Dependencies,,1815-11-20,,Curaçao,,
835,Curaçao and Dependencies,,1815-11-20,,Willemstad,,
836,Kutch / Kachchh,,,,Bhuj,,
837,Cy,,,,,,
838,Cyprus,Republic of Cyprus,2/19/1959,1141166,Nicos,,3572mi
839,Cyprus,Republic of Cyprus,8/16/1960,1141166,Nicos,,3572mi
840,Cyrenaic,,3/1/1949,,Benghaz,,
841,Czechoslovaki,,4/23/1990,,,,
842,Czech Republic,Czech Republic,,10541466,Prague,,30450mi
843,Czechoslovak government-in-exil,,,,,,
844,Czechoslovaki,,,,Prague,,
845,Czechoslovaki,,5/9/1948,,Prague,,
846,Czechoslovaki,,10/28/1918,,Prague,,
847,Da Chu,,,,Nanjing,,
848,Tabarist,,,,Amo,,
849,Tabarist,,,,"Sari, Iran",,
850,Daci,,,,Sarmizegetusa Reg,,
851,Dahomey,,,,Abomey,,
852,Dai,,,,,,
853,Dali,,,,Dali City,,
854,Damaraland,,,,Khorixas,,
855,Danava dynasty,,,,,,
856,Danish Estoni,,,,Tallinn,,
857,Danish Gold Coast / Denmark Gui,,,,"Osu, Accr",,
858,Danish Indi,,,,Fort Dansborg,,
859,,The Danish R,11/29/1978,5678348,,,42915.7km
860,,The Danish R,3/24/1948,5678348,,,42915.7km
861,Danish West Indies,,,,"Charlotte Amalie, U.S. Virgin Islands",,
862,Danish West Indies,,,,"Christiansted, U.S. Virgin Islands",,
863,Danishmend,,,,Niksar,,
864,Danishmend,,,,Sivas,,
865,Dào,,,,Queshan County,,
866,Dào,,,,"Xi County, Henan",,
867,Dào,,,,Henan,,
868,Dapeng,,,,Tongshan Distr,,
869,Darfur,Darfur,,7500000,Al-Fashir,,493180km
870,Darfur,Darfur Regional Authority,5/5/2006,6000000,Al-Fashir,,493180km
871,Darfur,Darfur Regional Authority,4/23/2007,6000000,Al-Fashir,,493180km
872,DI/TII,,8/7/1949,,,,
873,Дарвоз,,,,,,
874,Davak,,,,,,
875,Decapolis,,,,,,
876,Deccan sultanatesdrf,,,,Golkond,,
877,Deccan sultanatesdrf,,,,Adil Shahi dynasty,,
878,Deccan sultanatesdrf,,,,Achalpur,,
879,Deccan sultanatesdrf,,,,Ahmednagar,,
880,Deccan sultanatesdrf,,,,Bidar,,
881,Deheubarth,,,,Dinefwr Castle,,
882,Deir,,,,York,,
883,Deji,,,,,,
884,Delawar,,,,"New Castle, Delaware",,
885,Delhi Sultanat,,1206-06-12,,Agr,,
886,Delhi Sultanat,,1206-06-12,,Budaun,,
887,Delhi Sultanat,,1206-06-12,,Delh,,
888,Delhi Sultanat,,1206-06-12,,"Daulatabad, Maharashtr",,
889,Demak,,,,"Demak, Demak",,
890,Demerar,,,,"Georgetown, Guyan",,
891,Albani,,10/20/1944,,Tiran,,
892,Kampuch,,4/17/1975,,Phnom Penh,,
893,Afghanist,,4/30/1978,,Kabu,,
894,Georgi,,5/26/1918,,Tbilis,,
895,Madagascar,,12/30/1975,,Antananarivo,,
896,the Democratic Republic of the Congo,Democratic Republic of the C,6/30/1960,81680000,Kinshas,,905355mi
897,"Yemen, Democratic Republic of",,5/21/1994,,Aden,,
898,Dendi Kingdo,,,,Lulam,,
899,Deng,,,,Dengzhou,,
900,Deng,,,,Henan,,
901,Deng,,,,Hube,,
902,Deng,,,,Xiangyang,,
903,Denkyir,,,,Dunkwa-on-Offin,,
904,Denmark,Kingdom of Denmark,1849-06-05,5707251,Copenhagen,pital c,42923.5km
905,Denmark Norway,,,,Copenhagen,,
906,,,,40,,,2700203km
907,Derbent,,,,Derben,,
908,Ethiopi,,9/12/1974,,Addis Abab,,
909,Dervish,,,,Taleh,,
910,Angelokastron and Lepanto,,,,"Angelokastro, Aetolia-Acarnan",,
911,Art,,,,"Arta, Greece",,
912,Despotate of Epirus,,,,"Arta, Greece",,
913,Despotate of Epirus,,,,Ioannin,,
914,Mor,,,,Mystras,,
915,Deva dynasty,,,,Bikrampur,,
916,Dharmasray,,,,Muaro Jambi Temple Compounds,,
917,Dharmasray,,,,Dharmasraya Regency,,
918,Di,,,,,,
919,Diaokhi,,,,Oltu,,
920,,Location of Dekernes,,,,,
921,,,,,,,
922,Disentis Abbey,,,,,,
923,Branković,,,,Pristin,,
924,Portugal,,5/29/1926,,,,
925,Djibouti,Republic of Djibouti,6/27/1977,810178,Djibouti (city),,8958mi
926,D'mt,,,,Yeh,,
927,Eighth Dynasty of Hùng kings,,,,Phong Châu,,
928,Dominic,Commonwealth of Dominic,3/1/1967,72660,Roseau,,290mi
929,Dominic,Commonwealth of Dominic,11/3/1978,72660,Roseau,,290mi
930,Dominican Republic,Dominican Republic,1821-12-01,9980243,Santo Domingo,,48442km
931,Dominican Republic,Dominican Republic,1844-02-27,9980243,Santo Domingo,,48442km
932,British West Florid,Dominion of British West Florid,11/29/2005,,,,
933,Ceylo,,2/4/1948,,,,
934,Fiji,,10/10/1970,,,,
935,Indi,,8/15/1947,,,,
936,,Dominion of Melchizedek,,,,,
937,New Zealand,,9/26/1907,,Wellington,,
938,Newfoundland,,9/26/1907,,"St. John's, Newfoundland and Labrador",,
939,Pakist,,8/14/1947,,Karach,,
940,Don Republic,,5/18/1918,,Novocherkassk,,
941,Donbass,,12/4/1917,,,,
942,Donetsk–Krivoy Rog Republic,,2/12/1918,,Kharkiv,,
943,Donetsk–Krivoy Rog Republic,,2/12/1918,,Luhansk,,
944,Dong'ou,,,,Wenzhou,,
945,Dos Pilas,,,,,,
946,Doawo,,,,,,
947,Dubrovnik,,10/15/1991,,Cav,,
948,Dubrovnik,,10/15/1991,,Dubrovnik,,
949,Silesi,,,,Wrocław,,
950,Silesi,,,,Opav,,
951,Silesi,,,,Opole,,
952,Duchy of Amalfi,,,,Amalf,,
953,Anhalt,,,,Dessau,,
954,Aquitai,,,,,,
955,Athens,,,,Athens,,
956,Athens,,,,"Thebes, Greece",,
957,Austri,,,,Vienn,,
958,Bar,,,,Bar-le-Du,,
959,Bavari,,,,Munich,,
960,Bavari,,,,Regensburg,,
961,Belz,,,,Belz,,
962,Bernstadt,,,,Bierutów,,
963,Bohemi,,,,Prague,,
964,Brabant,,,,Brussels,,
965,Brittany,,0939-08-01,,Rennes,,
966,Brittany,,0939-08-01,,Vannes,,
967,Brittany,,0939-08-01,,Nantes,,
968,Brunswick,,,,,,
969,Brunswick-Lüneburg,,,,Braunschweig,,
970,Brunswick-Lüneburg,,,,Lüneburg,,
971,Brieg,,,,Brzeg,,
972,Bukovi,,,,Chernivts,,
973,Burgundy,,,,Dijon,,
974,Byto,,,,Bytom,,
975,Carinthi,,,,Klagenfur,,
976,Carinthi,,,,Sankt Veit an der Glan,,
977,Castro,,,,"Castro, Lazio",,
978,Cleves,,,,Kleve,,
979,Courland and Semigalli,,1561-11-28,,Jelgav,,
980,Courland,,3/8/1918,,Rig,,
981,Croati,,,,Fortress of Klis,,
982,Croati,,,,Bijać,,
983,Croati,,,,Solin,,
984,Croati,,,,Knin,,
985,Croati,,,,"Nin, Cro",,
986,,,,,Dol-de-Bretagne,,
987,"Estonia, Duchy of,",,1561-06-04,,Tallinn,,
988,Duchy of Ferrar,,,,Ferrar,,
989,Florenc,,,,Florence,,
990,Gascony,,,,Bordeaux,,
991,Głogów,,,,Głogów,,
992,Greater Poland,,,,Poznań,,
993,"Guastalla, Duchy",,1621-07-02,,,,
994,Holstei,,1474-02-14,,Glückstad,,
995,Inowrocław,,,,,,
996,Jawor,,,,Jawor,,
997,Jülich,,,,Jülich,,
998,Kopanic,,,,Köpenick,,
999,Krnov,,,,Krnov,,
1000,Legnic,,,,Legn,,
1001,Limburg,,,,Limbourg,,
1002,Limburg,,1839-04-19,,,,
1003,Lorrai,,,,"Nancy, France",,
1004,Lucc,,1815-06-09,,Lu,,
1005,Luxembourg,,,,Luxembourg City,,
1006,Magdeburg,,,,Magdeburg,,
1007,Magdeburg,,,,Halle (Saale),,
1008,Mantu,,1530-09-22,,,,
1009,Mazovi,,,,"Czersk, Masovian Voivodesh",,
1010,Mazovi,,,,Warsaw,,
1011,Mazovi,,,,Płock,,
1012,Massa and Carrar,,1473-02-22,,,,
1013,Mecklenburg-Schweri,,,,Schwerin,,
1014,Mecklenburg-Strelitz,,,,Mecklenburg-Strelitz (district),,
1015,Mil,,1395-05-01,,,,
1016,Ducato della Mirandol,,,,Mirando,,
1017,Modena and Reggio,,,,Moden,,
1018,Münsterberg,,,,,,
1019,Nassau,,1806-08-30,,Weilburg,,
1020,Nassau,,1806-08-30,,Wiesbaden,,
1021,Neopatras,,,,Y,,
1022,Normandy,,,,Rouen,,
1023,Nys,,,,"Nysa, Poland",,
1024,Oels,,,,Oleśn,,
1025,Oldenburg,,,,Oldenburg (Oldenburg),,
1026,Opol,,,,Opole,,
1027,Opole and Racibórz,,,,Duchy of Opole,,
1028,Oświęci,,,,Oświęcim,,
1029,Par,,1545-09-16,,Parm,,
1030,Pomerani,,,,Wolgas,,
1031,Pomerani,,,,Demmin,,
1032,Pomerani,,,,Szczecin,,
1033,Prussi,,1525-04-10,,Königsberg,,
1034,Racibórz,,,,Racibórz,,
1035,Salzburg,,,,Salzburg,,
1036,Savoy,,,,Chambéry,,
1037,Savoy,,,,Turin,,
1038,Saxe-Altenburg,,1602-07-07,,Altenburg,,
1039,Saxe-Meining,,,,Meiningen,,
1040,Saxe-Wittenberg,,,,Wittenberg,,
1041,Saxony,,,,,,
1042,Schleswig,,,,Copenhagen,,
1043,Schleswig,,,,"Schleswig, Schleswig-Holstein",,
1044,Schleswig,,,,Flensburg,,
1045,Sieradz,,,,Sieradz,,
1046,Silesi,,,,Wrocław,,
1047,Spoleto,,,,Spoleto,,
1048,Styri,,,,Graz,,
1049,Swabi,,,,,,
1050,Tesch,,,,Cieszyn,,
1051,"Archipelago, Duchy of th",,,,Naxos,,
1052,Thuringi,,,,,,
1053,Troppau,,,,Opav,,
1054,"Urbino, Duchy",,,,Urbino,,
1055,Warsaw,,1807-06-09,,,,
1056,Württemberg,,,,Stuttgar,,
1057,Żagań,,,,Żagań,,
1058,Oświęci,,,,Zator,,
1059,"Bouillon, Duchy",,,,Bouillon,,
1060,Dukedom of Alcalá de los Gazules,,,,,,
1061,Durrani Empir,,,,Her,,
1062,Durrani Empir,,,,Kabu,,
1063,Durrani Empir,,,,Kandahar,,
1064,Durrani Empir,,,,Peshawar,,
1065,"Bengal, Dutch",,,,Hugli-Chuchur,,
1066,"Bengal, Dutch",,,,Pipely,,
1067,Dutch Brazil,,1630-02-16,,Mauritsstad,,
1068,Cape Colony,,1652-04-06,,Cape Town,,
1069,Cape Colony,,1652-04-06,,Castle of Good Hope,,
1070,Celebes,,,,Makassar,,
1071,Dutch Ceylo,,1656-05-12,,Colombo,,
1072,Dutch Ceylo,,1656-05-12,,Galle,,
1073,"Coromandel, Dutch",,,,Pu,,
1074,"Coromandel, Dutch",,,,Nagapattinam,,
1075,Dutch East Indies,,1800-01-01,,"Batavia, Dutch East Indies",,
1076,,,,,,,
1077,Formos,,,,Fort Zeelandia (Taiwan),,
1078,Dutch Gui,,,,"Fort Nassau, Ghan",,
1079,Dutch Gui,,,,Elmina Castle,,
1080,,,9/9/1980,23000000,,,
1081,Loango-Angol,,1641-08-26,,Luand,,
1082,Dutch Malabar,,,,Fort Koch,,
1083,Dutch Malabar,,,,"St Thomas Fort, Tangasser",,
1084,"Malacca, Dutch",,1641-01-14,,Malacca City,,
1085,Dutch Mauritius,,1638-08-29,,Mahébourg,,
1086,Dutch Republic,,1581-07-26,,De facto,,
1087,Dutch Republic,,1581-07-26,,Amsterdam,,
1088,Slave Coast,,,,Godomey,,
1089,Slave Coast,,,,Ouidah,,
1090,Slave Coast,,,,Offr,,
1091,Dutch Suratt,,,,Sur,,
1092,Dutch Virgin Islands,,,,,,
1093,Haiti,,10/22/1957,,,,
1094,Dzungars,,,,Yining City,,
1095,E,,,,Xiangning County,,
1096,E,,,,Ezhou,,
1097,E,,,,"Nanyang, Henan",,
1098,Early Dynastic Period of Egypt,,,,"Memphis, Egy",,
1099,Viet,,,,Hoa Lư,,
1100,Vạn Xuâ,,,,Long Biên,,
1101,Early Pag,,,,Arimaddan,,
1102,Early Pag,,,,Tampawaddy,,
1103,Early Pag,,,,Thiri Pyissay,,
1104,Early Pag,,,,Bagan,,
1105,British East Afric,,1895-07-01,,Mombas,,
1106,British East Afric,,1895-07-01,,Nairob,,
1107,East Bengal,,8/15/1947,,Dhak,,
1108,East Breif,,,,Cavan,,
1109,East Caprivi,,,,Katima Mulilo,,
1110,East Germany,,10/7/1949,,East Berlin,,
1111,East Hopeh Government,,11/25/1935,,"Tongzhou District, Beijing",,
1112,East Jersey,,,,"Perth Amboy, New Jersey",,
1113,East Pakist,,,,Dhak,,
1114,East Timor,Democratic Republic of Timor-Lest,2/10/1943,1201542,D,D,5743mi
1115,East Timor,Democratic Republic of Timor-Lest,9/2/1945,1201542,D,D,5743mi
1116,Eastern Chalukyas,,,,Rajahmundry,,
1117,Eastern Chalukyas,,,,Veng,,
1118,Eastern Ganga Empir,,,,Mukhalingam,,
1119,Eastern Ganga Empir,,,,Cuttack,,
1120,Eastern Guo,,,,,,
1121,Eastern Hungarian Kingdo,,,,Bud,,
1122,Eastern Hungarian Kingdo,,,,Alba Iu,,
1123,Eastern Hungarian Kingdo,,,,"Lipova, Arad",,
1124,"Eastern Slavonia, Baranja and Western Syrmi",,,,Vukovar,,
1125,Eastern Turkic Khaganat,,,,Ordu-Baliq,,
1126,Eastern Wei,,0534-11-08,,Ye (ancient China),,
1127,Eastern Wei,,0534-11-08,,Luoyang,,
1128,* Eastern Wu,,,,Jiankang,,
1129,* Eastern Wu,,,,Ezhou,,
1130,* Sun Wu,,,,Jiankang,,
1131,* Sun Wu,,,,Ezhou,,
1132,Eastern Xi,,,,"Kaiyuan, Liaoning",,
1133,Eastern Xi,,,,Yanj,,
1134,Ebl,,,,,,
1135,,,,416046863,,,3060000mi
1136,Ecuador,Republic of Ecuador,1809-08-10,16144000,Quito,Guayaqu,109484mi
1137,Ecuador,Republic of Ecuador,1822-05-24,16144000,Quito,Guayaqu,109484mi
1138,Edo,,,,,,
1139,Egypt,Arab Republic of Egypt,1805-07-09,85783,Cairo,,387048mi
1140,Egypt,,6/18/1953,,Cairo,,
1141,Ekab,,,,,,
1142,El Salvador,Republic of El Salvador,1821-09-15,6377195,San Salvador,San Salvado,8124mi
1143,El Salvador,Republic of El Salvador,1823-07-01,6377195,San Salvador,San Salvado,8124mi
1144,Elching,,,,Elchingen,,
1145,Great Britai,,1707-05-01,,,,
1146,Palatinat,,,,Düsseldorf,,
1147,Palatinat,,,,Heidelberg,,
1148,Palatinat,,,,Mannheim,,
1149,Bad,,,,,,
1150,Bavari,,,,Munich,,
1151,Brunswick-Lunenburg,,,,Hanover,,
1152,Colog,,,,Bonn,,
1153,Colog,,,,Cologne,,
1154,Hesse-Kassel,,,,Kasse,,
1155,Mainz,,,,Mainz,,
1156,Salzburg,,1803-02-11,,,,
1157,Saxony,,1356-01-10,,Meissen,,
1158,Saxony,,1356-01-10,,Dresden,,
1159,Saxony,,1356-01-10,,Wittenberg,,
1160,"Trier, Trèves",,,,Trier,,
1161,"Trier, Trèves",,,,Ehrenbreitstein Fortress,,
1162,Wurttemberg,,,,,,
1163,Ellwangen Abbey,,,,Ellwangen,,
1164,Elmet,,,,Leeds,,
1165,Elymais,,,,Sus,,
1166,PDRI,,12/22/1948,,,,
1167,Afghanist,,,,Kabu,,
